Threshold,Accuracy,Precision,Recall,F1 Score,F2 Score,Flagged Share,Selected
0.2,0.22,0.20258064516129032,0.9631901840490797,0.3347547974413646,0.5501051156271899,0.96875,False
0.21,0.2225,0.20233463035019456,0.9570552147239264,0.3340471092077088,0.5481377371749825,0.96375,False
0.22,0.2275,0.20261437908496732,0.950920245398773,0.33405172413793105,0.5469301340860974,0.95625,False
0.23,0.2325,0.2028985507246377,0.9447852760736196,0.33405639913232105,0.5457122608079377,0.94875,False
0.24,0.24375,0.20533333333333334,0.9447852760736196,0.3373493975903614,0.5492154065620543,0.9375,False
0.25,0.25125,0.20540540540540542,0.9325153374233128,0.33665559246954596,0.5459770114942529,0.925,False
0.26,0.26,0.205761316872428,0.9202453987730062,0.336322869955157,0.5430847212165097,0.91125,False
0.27,0.2775,0.2065063649222065,0.8957055214723927,0.335632183908046,0.5371596762325239,0.88375,False
0.28,0.285,0.2049062049062049,0.8711656441717791,0.3317757009345794,0.5278810408921933,0.86625,False
0.29,0.2925,0.203240058910162,0.8466257668711656,0.32779097387173395,0.5184072126220887,0.84875,False
0.3,0.31375,0.2066869300911854,0.8343558282208589,0.3313032886723508,0.5190839694656488,0.8225,False
0.31,0.33125,0.209375,0.8220858895705522,0.33374844333748444,0.5185758513931888,0.8,False
0.32,0.35375,0.21266233766233766,0.803680981595092,0.3363286264441592,0.5165615141955836,0.77,False
0.33,0.37375,0.2106164383561644,0.754601226993865,0.3293172690763052,0.4975728155339806,0.73,False
0.34,0.38875,0.20892857142857144,0.7177914110429447,0.3236514522821577,0.48267326732673266,0.7,False
0.35,0.42,0.2176360225140713,0.7116564417177914,0.3333333333333333,0.48945147679324896,0.66625,False
0.36,0.4475,0.2215568862275449,0.6809815950920245,0.33433734939759036,0.4813529921942758,0.62625,False
0.37,0.4775,0.22580645161290322,0.6441717791411042,0.3343949044585987,0.4700089525514772,0.58125,True
0.38,0.50875,0.2300469483568075,0.6012269938650306,0.33276740237691,0.45454545454545453,0.5325,False
0.39,0.5425,0.2335958005249344,0.5460122699386503,0.3272058823529412,0.430784123910939,0.47625,False
0.4,0.57375,0.24277456647398843,0.5153374233128835,0.3300589390962672,0.42084168336673344,0.4325,False
0.41,0.5975,0.24600638977635783,0.4723926380368098,0.3235294117647059,0.39896373056994816,0.39125,False
0.42,0.6225,0.254416961130742,0.44171779141104295,0.32286995515695066,0.3850267379679144,0.35375,False
0.43,0.65125,0.2698412698412698,0.4171779141104294,0.327710843373494,0.37610619469026546,0.315,False
0.44,0.6625,0.2703862660944206,0.38650306748466257,0.3181818181818182,0.3559322033898305,0.29125,False
0.45,0.6775,0.2727272727272727,0.3496932515337423,0.3064516129032258,0.3310104529616725,0.26125,False
0.46,0.69125,0.2692307692307692,0.3006134969325153,0.28405797101449276,0.29376498800959233,0.2275,False
0.47,0.7,0.2578616352201258,0.25153374233128833,0.2546583850931677,0.2527743526510481,0.19875,False
0.48,0.71375,0.2676056338028169,0.2331288343558282,0.24918032786885247,0.23929471032745592,0.1775,False
0.49,0.72,0.26356589147286824,0.2085889570552147,0.2328767123287671,0.2176696542893726,0.16125,False
0.5,0.73375,0.26851851851851855,0.17791411042944785,0.2140221402214022,0.19078947368421054,0.135,False
0.51,0.735,0.23655913978494625,0.13496932515337423,0.171875,0.1476510067114094,0.11625,False
0.52,0.7475,0.24,0.11042944785276074,0.15126050420168066,0.12379642365887207,0.09375,False
0.53,0.76,0.2698412698412698,0.10429447852760736,0.1504424778761062,0.11888111888111888,0.07875,False
0.54,0.7625,0.22448979591836735,0.06748466257668712,0.10377358490566038,0.07845934379457917,0.06125,False
0.55,0.76375,0.20454545454545456,0.05521472392638037,0.08695652173913043,0.06465517241379311,0.055,False
0.56,0.77,0.18181818181818182,0.03680981595092025,0.061224489795918366,0.043795620437956206,0.04125,False
0.57,0.775,0.13043478260869565,0.018404907975460124,0.03225806451612903,0.022222222222222223,0.02875,False
0.58,0.78375,0.08333333333333333,0.006134969325153374,0.011428571428571429,0.007530120481927711,0.015,False
0.59,0.785,0.09090909090909091,0.006134969325153374,0.011494252873563218,0.007541478129713424,0.01375,False
0.6,0.78875,0.125,0.006134969325153374,0.011695906432748537,0.007575757575757576,0.01,False
